ser,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,educated,population,households,median_income,random_income,ocean_proximity,median_house_value
23,-122.27,37.84,52,2436,541,446.6,1015,478,1.725,9.89226647,NEAR BAY,113900
24,-122.27,37.84,52,1688,337,,853,325,2.1806,0.887202465,NEAR BAY,99700
25,-122.27,37.84,52,2224,437,402.4,1006,422,2.6,3.213132817,NEAR BAY,132600
26,-122.28,37.85,41,535,123,,317,119,2.4038,0.613483264,NEAR BAY,107500
27,-122.28,37.85,49,1130,244,254.94,607,239,2.4597,6.363931223,NEAR BAY,93800
28,-122.28,37.85,52,1898,421,,1102,397,1.808,8.919419508,NEAR BAY,105500
29,-122.28,37.84,50,2082,492,441.09,1131,473,1.6424,3.046563785,NEAR BAY,108900
30,-122.28,37.84,52,729,160,158,395,155,1.6875,5.409398271,NEAR BAY,132000
31,-122.28,37.84,49,1916,447,,863,378,1.9274,8.685793438,NEAR BAY,122300
32,-122.28,37.84,52,2153,481,478.88,1168,441,1.9615,8.343791007,NEAR BAY,115200
33,-122.27,37.84,48,1922,409,379.62,1026,335,1.7969,8.901792762,NEAR BAY,110400
34,-122.27,37.83,49,1655,366,,754,329,1.375,9.092458477,NEAR BAY,104900
35,-122.27,37.83,51,2665,574,,1258,536,2.7303,1.622939749,NEAR BAY,109700
36,-122.27,37.83,49,1215,282,205.2,570,264,1.4861,7.416448051,NEAR BAY,97200
37,-122.27,37.83,48,1798,,,987,374,1.0972,8.828685245,NEAR BAY,104500
38,-122.28,37.83,52,1511,390,387.43,901,403,1.4103,9.768338865,NEAR BAY,103900
39,-122.26,37.83,52,1470,330,254.93,689,309,3.48,6.347184955,NEAR BAY,191400
40,-122.26,37.83,52,2432,715,619.65,1377,696,2.5898,4.678025941,NEAR BAY,176000
41,-122.26,37.83,52,1665,419,,946,395,2.0978,7.288299511,NEAR BAY,155400
42,-122.26,37.83,51,936,311,,517,249,1.2852,5.512247352,NEAR BAY,150000
43,-122.26,37.84,49,713,202,194.04,462,189,1.025,2.419590591,NEAR BAY,118800
44,-122.26,37.84,52,950,202,200.81,467,198,3.9643,6.012376042,NEAR BAY,188800
45,-122.26,37.83,52,1443,311,277.2,660,292,3.0125,9.269439397,NEAR BAY,184400
46,-122.26,37.83,52,1656,420,301.56,718,382,2.6768,2.679048138,NEAR BAY,182300
47,-122.26,37.83,50,1125,322,215.6,616,304,2.026,6.524733542,NEAR BAY,142500
48,-122.27,37.82,43,1007,312,251.1,558,253,1.7348,8.109524401,NEAR BAY,137500
49,-122.26,37.82,40,624,195,164.97,423,160,0.9506,7.072532161,NEAR BAY,187500
50,-122.27,37.82,40,946,375,259,700,352,1.775,9.703326358,NEAR BAY,112500
51,-122.27,37.82,21,896,453,279.3,735,438,0.9218,5.197586234,NEAR BAY,171900
52,-122.27,37.82,43,1868,456,,1061,407,1.5045,6.543000332,NEAR BAY,93800
53,-122.27,37.82,41,3221,853,724.83,1959,720,1.1108,0.266848187,NEAR BAY,97500
54,-122.27,37.82,52,1630,456,441.56,1162,400,1.2475,3.686982774,NEAR BAY,104200
55,-122.28,37.82,52,1170,235,,701,233,1.6098,4.615485057,NEAR BAY,87500
56,-122.28,37.82,52,945,243,,576,220,1.4113,2.516189168,NEAR BAY,83100
57,-122.28,37.82,52,1238,288,261.24,622,259,1.5057,7.582831988,NEAR BAY,87500
58,-122.28,37.82,52,1489,335,,728,244,0.8172,5.766038586,NEAR BAY,85300
59,-122.28,37.82,52,1387,341,472.56,1074,304,1.2171,2.030223645,NEAR BAY,80300
60,-122.29,37.82,2,158,43,,94,57,2.5625,3.30256163,NEAR BAY,60000
61,-122.29,37.83,52,1121,211,243.76,554,187,3.3929,5.446077012,NEAR BAY,75700
62,-122.29,37.82,49,135,29,34.4,86,23,6.1183,6.482948088,NEAR BAY,75000
63,-122.29,37.81,50,760,190,,377,122,0.9011,0.938084486,NEAR BAY,86100
64,-122.3,37.81,52,1224,237,208.4,521,159,1.191,6.627643029,NEAR BAY,76100
65,-122.3,37.81,48,828,182,164.64,392,133,2.5938,6.038962559,NEAR BAY,73500
66,-122.3,37.81,52,1010,209,217.44,604,187,1.1667,6.549172517,NEAR BAY,78400
67,-122.3,37.81,48,1455,354,307.32,788,332,0.8056,4.723435736,NEAR BAY,84400
68,-122.29,37.8,52,1027,244,206.64,492,147,2.6094,1.513176752,NEAR BAY,81300
69,-122.3,37.81,52,572,109,,274,82,1.8516,9.209414013,NEAR BAY,85000
70,-122.29,37.81,46,2801,644,783.89,1823,611,0.9802,1.196978614,NEAR BAY,129200
71,-122.29,37.81,26,768,152,156.8,392,127,1.7719,1.730012887,NEAR BAY,82500
72,-122.29,37.81,46,935,297,232.8,582,277,0.7286,4.969764292,NEAR BAY,95200
73,-122.29,37.81,49,844,204,252,560,152,1.75,8.470759054,NEAR BAY,75000
74,-122.29,37.81,46,12,4,7.38,18,7,0.4999,5.103178421,NEAR BAY,67500
75,-122.29,37.81,20,835,161,130.5,290,133,2.483,8.237900008,NEAR BAY,137500
76,-122.28,37.81,17,1237,462,,762,439,0.9241,6.526024928,NEAR BAY,177500
77,-122.28,37.81,36,2914,562,482.04,1236,509,2.4464,9.243941362,NEAR BAY,102100
78,-122.28,37.81,19,1207,243,,721,207,1.1111,4.051076888,NEAR BAY,108300
79,-122.29,37.81,23,1745,374,442.68,1054,325,0.8026,9.267231803,NEAR BAY,112500
80,-122.28,37.8,38,684,176,130.72,344,155,2.0114,2.971197014,NEAR BAY,131300
81,-122.28,37.81,17,924,289,,609,289,1.5,0.706882501,NEAR BAY,162500
82,-122.27,37.81,52,210,56,71.37,183,56,1.1667,8.735687392,NEAR BAY,112500
83,-122.28,37.81,52,340,97,,200,87,1.5208,8.383669051,NEAR BAY,112500
84,-122.28,37.81,52,386,164,152.24,346,155,0.8075,5.838434048,NEAR BAY,137500
85,-122.28,37.81,35,948,184,,467,169,1.8088,9.988143051,NEAR BAY,118800
86,-122.28,37.81,52,773,143,150.8,377,115,2.4083,0.930670309,NEAR BAY,98200
87,-122.27,37.81,40,880,451,,582,380,0.977,9.615116455,NEAR BAY,118800
88,-122.27,37.81,10,875,348,207.48,546,330,0.76,7.978309978,NEAR BAY,162500
89,-122.27,37.8,10,105,42,53.75,125,39,0.9722,1.728694048,NEAR BAY,137500
90,-122.27,37.8,52,249,78,166.32,396,85,1.2434,6.20732667,NEAR BAY,500001
91,-122.27,37.8,16,994,392,344,800,362,2.0938,1.406380956,NEAR BAY,162500
92,-122.28,37.8,52,215,87,361.6,904,88,0.8668,7.569188918,NEAR BAY,137500
93,-122.28,37.8,52,96,31,,191,34,0.75,6.268327742,NEAR BAY,162500
94,-122.27,37.79,27,1055,347,323.1,718,302,2.6354,1.079581234,NEAR BAY,187500
95,-122.27,37.8,39,1715,623,570.61,1327,467,1.8477,8.789322272,NEAR BAY,179200
96,-122.26,37.8,36,5329,2477,1387.6,3469,2323,2.0096,5.325605464,NEAR BAY,130000
97,-122.26,37.82,31,4596,1331,901.12,2048,1180,2.8345,6.870876321,NEAR BAY,183800
98,-122.26,37.81,29,335,107,84.84,202,91,2.0062,8.616293704,NEAR BAY,125000
99,-122.26,37.82,22,3682,1270,789.36,2024,1250,1.2185,7.85564036,NEAR BAY,170000
100,-122.26,37.82,37,3633,1085,808.72,1838,980,2.6104,0.550243773,NEAR BAY,193100
101,-122.25,37.81,29,4656,1414,921.6,2304,1250,2.4912,2.513840976,NEAR BAY,257800
102,-122.25,37.81,28,5806,1603,1076.46,2563,1497,3.2177,7.941042516,NEAR BAY,273400
103,-122.25,37.81,39,854,242,155.6,389,228,3.125,3.442330071,NEAR BAY,237500
104,-122.25,37.81,52,2155,701,349.05,895,613,2.5795,2.972726894,NEAR BAY,350000
105,-122.26,37.81,34,5871,1914,1075.6,2689,1789,2.8406,5.171475147,NEAR BAY,335700
106,-122.24,37.82,52,1509,225,,674,244,4.9306,8.711053285,NEAR BAY,313400
107,-122.24,37.81,52,2026,482,304.87,709,456,3.2727,3.656845364,NEAR BAY,268500
108,-122.25,37.81,52,1758,460,246.96,686,422,3.1691,3.296235047,NEAR BAY,259400
109,-122.24,37.82,52,3481,751,534.28,1444,718,3.9,9.249632537,NEAR BAY,275700
110,-122.25,37.82,28,3337,855,623.2,1520,802,3.9063,2.79540325,NEAR BAY,225000
111,-122.25,37.82,52,1424,289,,550,253,5.0917,1.855001522,NEAR BAY,262500
112,-122.25,37.82,32,3809,1098,686.28,1806,1022,2.6429,4.11640834,NEAR BAY,218500
113,-122.25,37.82,26,3959,1196,664.62,1749,1217,3.0233,6.406663479,NEAR BAY,255000
114,-122.25,37.83,52,2376,559,,939,519,3.1484,2.521126895,NEAR BAY,224100
115,-122.25,37.83,35,1613,428,297,675,422,3.4722,3.331197621,NEAR BAY,243100
116,-122.25,37.83,52,1279,287,224.28,534,291,3.1429,6.161543664,NEAR BAY,231600
117,-122.25,37.83,28,5022,1750,,2558,1661,2.4234,3.76856121,NEAR BAY,218500
118,-122.25,37.83,52,4190,1105,,1786,1037,3.0897,9.48602619,NEAR BAY,234100
119,-122.23,37.84,50,2515,399,388,970,373,5.8596,2.38984342,NEAR BAY,327600
120,-122.23,37.84,47,3175,454,428.22,1098,485,5.2868,6.868330123,NEAR BAY,347600
121,-122.24,37.83,41,2576,406,357.3,794,376,5.956,0.556836914,NEAR BAY,366100
122,-122.24,37.85,37,334,54,37.24,98,47,4.9643,0.349545103,NEAR BAY,335000
123,-122.23,37.85,52,2800,411,,1061,403,6.3434,9.696733727,NEAR BAY,373600
124,-122.24,37.84,52,3529,574,494.34,1177,555,5.1773,7.468105296,NEAR BAY,389500
125,-122.24,37.85,52,2612,365,342.38,901,367,7.2354,2.651834039,NEAR BAY,391100
126,-122.22,37.85,28,5287,1048,832.71,2031,956,5.457,0.254023296,NEAR BAY,337300
127,-122.22,37.84,50,2935,473,443.33,1031,479,7.5,1.821260728,NEAR BAY,295200
128,-122.21,37.84,44,3424,597,,1358,597,6.0194,2.286178852,NEAR BAY,292300
129,-122.21,37.83,40,4991,674,678.72,1616,654,7.5544,9.947844263,NEAR BAY,411500
130,-122.2,37.84,30,2211,346,,844,343,6.0666,2.59548688,NEAR BAY,311500
131,-122.21,37.84,34,3038,490,444.6,1140,496,7.0548,1.14778018,NEAR BAY,325900
132,-122.19,37.84,18,1617,210,191.88,533,194,11.6017,5.27893219,NEAR BAY,392600
133,-122.2,37.84,35,2865,460,418.08,1072,443,7.4882,1.048832537,NEAR BAY,319300
134,-122.21,37.83,34,5065,788,,1627,766,6.8976,5.78455261,NEAR BAY,333300
135,-122.19,37.83,28,1326,184,208.35,463,190,8.2049,5.933996797,NEAR BAY,335200
136,-122.2,37.83,26,1589,223,216.8,542,211,8.401,2.150499973,NEAR BAY,351200
137,-122.19,37.83,29,1791,271,257.79,661,269,6.8538,5.4401906,NEAR BAY,368900
138,-122.19,37.82,32,1835,264,234.95,635,263,8.317,3.144238709,NEAR BAY,365900
139,-122.2,37.82,37,1229,181,172.2,420,176,7.0175,5.452643323,NEAR BAY,366700
140,-122.2,37.82,39,3770,534,480.7,1265,500,6.3302,4.617013607,NEAR BAY,362800
141,-122.18,37.81,30,292,38,49.14,126,52,6.3624,2.991208918,NEAR BAY,483300
142,-122.21,37.82,52,2375,333,357.72,813,350,7.0549,1.819269993,NEAR BAY,331400
143,-122.2,37.81,45,2964,436,416.13,1067,426,6.7851,2.668569477,NEAR BAY,323500
144,-122.21,37.8,50,2833,605,,1260,552,2.8929,0.585405059,NEAR BAY,216700
145,-122.21,37.8,38,2254,535,,951,487,3.0812,4.987704378,NEAR BAY,233100
146,-122.21,37.81,52,1389,212,219.3,510,224,5.2402,3.080236127,NEAR BAY,296400
147,-122.22,37.81,52,1971,335,336.6,765,308,6.5217,1.428530177,NEAR BAY,273700
148,-122.22,37.8,52,2183,465,417.73,1129,460,3.2632,7.874056903,NEAR BAY,227700
149,-122.22,37.8,52,2286,464,,1073,441,3.0298,8.12222871,NEAR BAY,199600
150,-122.22,37.8,52,2721,541,,1185,515,4.5428,2.939640199,NEAR BAY,239800
151,-122.22,37.81,52,2024,339,264.6,756,340,4.072,2.47927401,NEAR BAY,270100
152,-122.22,37.81,52,2944,536,,1034,521,5.3509,1.444262241,NEAR BAY,302100
153,-122.23,37.8,52,2033,486,346.28,787,459,3.1603,8.557709321,NEAR BAY,269500
154,-122.23,37.81,52,1433,229,220.32,612,213,4.7708,9.508754974,NEAR BAY,314700
155,-122.22,37.81,52,2927,402,418.61,1021,380,8.1564,3.973016854,NEAR BAY,390100
156,-122.23,37.81,52,2315,292,309.96,861,258,8.8793,5.325926767,NEAR BAY,410300
157,-122.24,37.81,52,2485,313,,953,327,6.8591,3.166489125,NEAR BAY,352400
158,-122.24,37.81,52,1490,238,,634,256,6.0302,8.814650287,NEAR BAY,287300
159,-122.23,37.81,52,2814,365,,878,352,7.508,6.809960256,NEAR BAY,348700
160,-122.24,37.81,52,2093,550,358.02,918,483,2.7477,2.966534197,NEAR BAY,243800
161,-122.24,37.8,52,888,168,,360,175,2.1944,5.559244846,NEAR BAY,211500
162,-122.25,37.8,52,2087,510,478.8,1197,488,3.0149,1.392143823,NEAR BAY,218400
163,-122.24,37.81,52,2513,502,,1048,518,3.675,4.521992602,NEAR BAY,269900
164,-122.25,37.81,46,3232,835,549.2,1373,747,3.225,4.15974772,NEAR BAY,218800
165,-122.25,37.8,42,4120,1065,686,1715,1015,2.9345,3.360701036,NEAR BAY,225000
166,-122.25,37.8,43,2364,792,,1359,722,2.1429,3.111943256,NEAR BAY,250000
167,-122.25,37.8,41,1471,469,435.42,1062,413,1.6121,7.736416014,NEAR BAY,171400
168,-122.25,37.8,29,2468,864,,1335,773,1.3929,1.543094176,NEAR BAY,193800
169,-122.24,37.79,27,1632,492,491.82,1171,429,2.3173,2.689903848,NEAR BAY,125000
170,-122.25,37.79,45,1786,526,634.25,1475,460,1.7772,6.466846869,NEAR BAY,97500
171,-122.25,37.79,50,629,188,274.54,742,196,2.6458,5.137329206,NEAR BAY,125000
172,-122.25,37.79,52,1339,391,390.96,1086,363,2.181,4.246345197,NEAR BAY,138800
173,-122.25,37.8,36,1678,606,641.55,1645,543,2.2303,9.692867878,NEAR BAY,116700
174,-122.25,37.8,43,2344,647,701.1,1710,644,1.6504,7.25309563,NEAR BAY,151800
175,-122.24,37.8,52,996,228,321.64,731,228,2.2697,9.990703875,NEAR BAY,127000
176,-122.24,37.8,52,1591,373,447.2,1118,347,2.1563,6.427819732,NEAR BAY,128600
177,-122.24,37.8,52,1586,398,402.4,1006,335,2.1348,4.769439207,NEAR BAY,140600
178,-122.24,37.8,47,2046,588,,1213,554,2.6292,4.016554255,NEAR BAY,182700
179,-122.23,37.8,52,1192,289,285.64,772,257,2.3833,3.538879336,NEAR BAY,146900
180,-122.24,37.8,52,1803,420,594.45,1321,401,2.957,2.259585966,NEAR BAY,122800
181,-122.24,37.8,49,2838,749,579.93,1487,677,2.5238,8.28398235,NEAR BAY,169300
182,-122.23,37.8,52,783,184,170.8,488,186,1.9375,1.628666757,NEAR BAY,126600
183,-122.23,37.8,51,1590,414,,949,392,1.9028,1.488222775,NEAR BAY,127900
184,-122.23,37.8,50,1746,480,,1149,415,2.25,0.250608627,NEAR BAY,123500
185,-122.23,37.8,52,1252,299,337.6,844,280,2.3929,0.694371636,NEAR BAY,111900
186,-122.23,37.79,43,5963,1344,,4367,1231,2.1917,9.172699046,NEAR BAY,112800
187,-122.23,37.79,52,1783,395,680.19,1659,412,2.9357,1.67442094,NEAR BAY,107900
188,-122.23,37.79,30,999,264,374.07,1011,263,1.8854,6.694802027,NEAR BAY,137500
189,-122.24,37.79,39,1469,431,600.24,1464,389,2.1638,1.211800235,NEAR BAY,105500
190,-122.24,37.79,47,1372,395,482.43,1237,303,2.125,6.255529675,NEAR BAY,95500
191,-122.24,37.79,52,674,180,245.86,647,168,3.375,6.428799509,NEAR BAY,116100
192,-122.24,37.79,43,1626,376,564.96,1284,357,2.2542,4.510609166,NEAR BAY,112200
193,-122.25,37.79,51,175,43,100.32,228,55,2.1,1.834457067,NEAR BAY,75000
194,-122.25,37.79,39,461,129,,381,123,1.6,0.766652584,NEAR BAY,112500
195,-122.25,37.79,52,902,237,355.32,846,227,3.625,9.78954375,NEAR BAY,125000
196,-122.26,37.8,20,2373,779,597.24,1659,676,1.6929,5.655167025,NEAR BAY,115000
197,-122.22,37.77,52,391,128,,520,138,1.6471,3.182580024,NEAR BAY,95000
198,-122.22,37.77,52,1137,301,355.06,866,259,2.59,2.823480914,NEAR BAY,96400
199,-122.23,37.77,52,769,206,269.28,612,183,2.57,7.303516098,NEAR BAY,72000
200,-122.23,37.78,52,472,146,170.15,415,126,2.6429,7.735663191,NEAR BAY,71300
201,-122.23,37.78,52,862,215,427.42,994,213,3.0257,8.500176908,NEAR BAY,80800
202,-122.22,37.78,50,1920,530,579.5,1525,477,1.4886,8.742444029,NEAR BAY,128800
203,-122.23,37.78,43,1420,472,527.1,1506,438,1.9338,7.682167281,NEAR BAY,112500
204,-122.23,37.78,52,986,258,352.8,1008,255,1.4844,4.214125019,NEAR BAY,119400
205,-122.23,37.78,44,2340,825,1209.59,2813,751,1.6009,3.08471883,NEAR BAY,118100
206,-122.23,37.79,48,1696,396,547.97,1481,343,2.0375,4.968571295,NEAR BAY,122500
207,-122.23,37.79,49,1175,217,369.37,859,219,2.293,5.008415442,NEAR BAY,106300
208,-122.22,37.79,37,2343,574,594.96,1608,523,2.1494,8.163238147,NEAR BAY,132500
209,-122.23,37.79,30,610,145,165.75,425,140,1.6198,9.201224035,NEAR BAY,122700
210,-122.23,37.79,40,930,199,225.6,564,184,1.3281,4.7909241,NEAR BAY,113300
211,-122.22,37.79,44,1487,314,,961,272,3.5156,3.545927185,NEAR BAY,109500
212,-122.22,37.79,52,3424,690,886.47,2273,685,3.9048,3.449433101,NEAR BAY,164700
213,-122.21,37.79,52,762,190,222,600,195,3.0893,7.996404508,NEAR BAY,125000
214,-122.22,37.79,46,2366,575,,1647,527,2.6042,7.71375444,NEAR BAY,124700
215,-122.22,37.79,49,1826,450,540.45,1201,424,2.5,4.569336445,NEAR BAY,136700
216,-122.22,37.79,38,3049,711,,2167,659,2.7969,4.475682413,NEAR BAY,141700
217,-122.2,37.79,29,1640,376,338.04,939,340,2.8321,3.857951611,NEAR BAY,150000
218,-122.21,37.79,47,1543,307,326.42,859,292,2.9583,4.290201699,NEAR BAY,138800
219,-122.21,37.79,34,2364,557,546.12,1517,516,2.8365,4.837677477,NEAR BAY,139200
220,-122.21,37.79,35,1745,409,,1143,386,2.875,5.350378015,NEAR BAY,143800
221,-122.21,37.8,39,2003,500,443.6,1109,464,3.0682,2.295976693,NEAR BAY,156500
222,-122.21,37.8,39,2018,447,500.61,1221,446,3.0757,5.740924279,NEAR BAY,151000
223,-122.2,37.8,43,3045,499,446,1115,455,4.9559,5.680246831,NEAR BAY,273000
224,-122.2,37.8,52,1547,293,261.22,706,268,4.7721,0.388985213,NEAR BAY,217100
225,-122.21,37.8,52,3519,711,,1883,706,3.4861,9.332662937,NEAR BAY,187100
226,-122.2,37.8,41,2070,354,361.8,804,340,5.1184,6.125760972,NEAR BAY,239600
227,-122.21,37.8,48,1321,263,177.1,506,252,4.0977,6.967388131,NEAR BAY,229700
228,-122.19,37.8,48,1694,259,,610,238,4.744,6.362789404,NEAR BAY,257300
229,-122.19,37.8,46,1938,341,,768,332,4.2727,3.569907133,NEAR BAY,246900
230,-122.19,37.79,50,968,195,170.94,462,184,2.9844,0.046283582,NEAR BAY,179900
231,-122.2,37.79,40,1060,256,253.46,667,235,4.1739,7.45172932,NEAR BAY,169600
232,-122.2,37.8,46,2041,405,,1059,399,3.8487,9.154392138,NEAR BAY,203300
233,-122.19,37.8,52,1813,271,,637,277,4.0114,5.245175003,NEAR BAY,263400
234,-122.19,37.79,45,2718,451,420.28,1106,454,4.6563,7.671550083,NEAR BAY,231800
235,-122.19,37.79,28,3144,761,,1737,669,2.9297,2.02907166,NEAR BAY,140500
236,-122.2,37.79,35,1802,459,363.24,1009,390,2.3036,5.946001704,NEAR BAY,126000
237,-122.2,37.79,49,882,195,,737,210,2.6667,6.650536789,NEAR BAY,122000
238,-122.2,37.79,44,1621,452,,1354,491,2.619,5.547975232,NEAR BAY,134700
239,-122.21,37.79,45,2115,533,,1530,474,2.4167,0.450448489,NEAR BAY,139400
240,-122.2,37.79,45,2021,528,521.7,1410,480,2.7788,7.6797456,NEAR BAY,115400
241,-122.21,37.78,46,2239,508,528.2,1390,569,2.7352,7.98455131,NEAR BAY,137300
242,-122.21,37.78,52,1477,300,,1065,269,1.8472,7.601442653,NEAR BAY,137000
243,-122.21,37.78,52,1056,224,348.48,792,245,2.6583,5.055617663,NEAR BAY,142600
244,-122.21,37.78,49,898,244,,779,245,3.0536,9.635196153,NEAR BAY,137500
245,-122.22,37.78,44,2968,710,930.29,2269,610,2.3906,8.489077913,NEAR BAY,111700
246,-122.21,37.78,43,1702,460,,1227,407,1.7188,5.734583454,NEAR BAY,126800
247,-122.21,37.78,47,881,248,338.85,753,241,2.625,3.516678617,NEAR BAY,111300
248,-122.22,37.77,40,494,114,,547,135,2.8015,7.645693511,NEAR BAY,114800
249,-122.22,37.78,50,1776,473,722.8,1807,440,1.7276,8.917284246,NEAR BAY,102300
250,-122.22,37.78,44,1678,514,765,1700,495,2.0801,1.333212801,NEAR BAY,131900
251,-122.22,37.78,51,1637,463,,1543,393,2.489,2.028582618,NEAR BAY,119100
252,-122.21,37.76,52,1420,314,,1085,300,1.7546,9.85796939,NEAR BAY,80600
253,-122.21,37.77,52,591,173,148.26,353,137,4.0904,4.328884573,NEAR BAY,80600
254,-122.21,37.77,52,745,153,203.39,473,149,2.6765,9.456691543,NEAR BAY,88800
255,-122.2,37.77,49,2272,498,583.56,1621,483,2.4338,5.767082737,NEAR BAY,102400
256,-122.21,37.77,46,1234,375,,1183,354,2.3309,8.651940871,NEAR BAY,98700
257,-122.21,37.77,43,1017,328,317.68,836,277,2.2604,1.534920417,NEAR BAY,100000
258,-122.19,37.77,42,932,254,333,900,263,1.8039,2.099438616,NEAR BAY,92300
259,-122.2,37.77,39,2689,597,,1888,537,2.2562,8.703081605,NEAR BAY,94800
260,-122.2,37.77,41,1547,415,419.84,1024,341,2.0562,3.893647433,NEAR BAY,102000
261,-122.2,37.78,52,2300,443,490,1225,423,3.5398,1.841043689,NEAR BAY,158400
262,-122.2,37.78,39,1752,399,,1071,376,3.1167,9.881349428,NEAR BAY,121600
263,-122.2,37.78,50,1867,403,507.6,1128,378,2.5401,5.389269686,NEAR BAY,129100
264,-122.2,37.77,43,2430,502,,1537,484,2.898,8.633079508,NEAR BAY,121400
265,-122.21,37.78,44,1729,414,434,1240,393,2.3125,3.955337281,NEAR BAY,102800
266,-122.19,37.78,52,1026,180,,469,168,2.875,8.293789097,NEAR BAY,160000
267,-122.19,37.77,52,2170,428,,1086,425,3.3715,3.132587212,NEAR BAY,143900
268,-122.19,37.77,52,2329,445,411.84,1144,417,3.5114,4.159083957,NEAR BAY,151200
269,-122.19,37.78,52,2492,415,399.24,1109,375,4.3125,2.160642165,NEAR BAY,164400
270,-122.19,37.78,52,2198,397,344.4,984,369,3.22,3.797885307,NEAR BAY,156500
271,-122.18,37.78,33,142,31,235.75,575,47,3.875,5.297945541,NEAR BAY,225000
272,-122.19,37.78,49,1183,205,203.36,496,209,5.2328,1.812497691,NEAR BAY,174200
273,-122.19,37.78,52,1070,193,210.9,555,190,3.7262,2.680818342,NEAR BAY,166900
274,-122.2,37.78,45,1766,332,304.15,869,327,4.5893,6.36245071,NEAR BAY,163500
275,-122.18,37.79,39,617,95,89.68,236,106,5.2578,6.567591663,NEAR BAY,253000
276,-122.18,37.79,41,1411,233,250.4,626,214,7.0875,8.819445126,NEAR BAY,240700
277,-122.18,37.79,46,2109,387,378.02,922,329,3.9712,4.915155407,NEAR BAY,208100
278,-122.19,37.79,47,1229,243,256.08,582,256,2.9514,9.773650831,NEAR BAY,198100
279,-122.19,37.79,50,954,217,212.94,546,201,2.6667,0.909691392,NEAR BAY,172800
280,-122.18,37.81,37,1643,262,,620,266,5.4446,5.208747085,NEAR BAY,336700
281,-122.18,37.8,34,1355,195,,442,195,6.2838,1.889987342,NEAR BAY,318200
282,-122.18,37.8,23,2317,336,382,955,328,6.7527,6.361045225,NEAR BAY,285800
283,-122.13,37.77,24,2459,317,348.08,916,324,7.0712,6.175442406,NEAR BAY,293000
284,-122.16,37.79,22,12842,2048,2143.55,4985,1967,5.9849,3.604784893,NEAR BAY,371000
285,-122.17,37.78,42,1524,260,247.38,651,267,3.6875,6.932254819,NEAR BAY,157300
286,-122.17,37.77,30,3326,746,715.68,1704,703,2.875,8.318446847,NEAR BAY,135300
287,-122.18,37.78,43,1985,440,488.25,1085,407,3.4205,4.451791492,NEAR BAY,136700
288,-122.18,37.78,50,1642,322,256.68,713,284,3.2984,7.909421537,NEAR BAY,160700
289,-122.17,37.78,49,893,177,173.16,468,181,3.875,6.526155912,NEAR BAY,140600
290,-122.17,37.78,52,653,128,,296,121,4.175,6.254408688,NEAR BAY,144000
291,-122.16,37.77,47,1256,,205.2,570,218,4.375,6.204322451,NEAR BAY,161900
292,-122.16,37.77,48,977,194,165.02,446,180,4.7708,4.787341309,NEAR BAY,156300
293,-122.16,37.77,45,2324,397,377.52,968,384,3.5739,5.879137745,NEAR BAY,176000
294,-122.16,37.77,39,1583,349,351.37,857,316,3.0958,8.639582423,NEAR BAY,145800
